"V1"	"fasta"	"scaffold"	"gene_position"	"start_position"	"end_position"	"strandedness"	"rank"	"ko_id"	"kegg_hit"	"uniref_id"	"uniref_hit"	"uniref_taxonomy"	"uniref_RBH"	"uniref_identity"	"uniref_bitScore"	"uniref_eVal"	"peptidase_id"	"peptidase_family"	"peptidase_hit"	"peptidase_RBH"	"peptidase_identity"	"peptidase_bitScore"	"peptidase_eVal"	"pfam_hits"	"cazy_ids"	"cazy_hits"	"cazy_subfam_ec"	"cazy_best_hit"	"heme_regulatory_motif_count"
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_11"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	11	10174	11487	1	"B"	"K09471"	"gamma-glutamylputrescine oxidase [EC:1.4.3.-]"	"A0A1H3LHM0_9PSED"	"UniRef90_A0A1H3LHM0 Glycine/D-amino acid oxidase n=7 Tax=Pseudomonas TaxID=286 RepID=A0A1H3LHM0_9PSED"	"Pseudomonas"	TRUE	0.958	882	1.623e-286	""	""	""	NA	NA	NA	NA	"FAD dependent oxidoreductase [PF01266.28]; FAD binding domain [PF00890.28]; NAD(P)-binding Rossmann-like domain [PF13450.10]; HI0933-like protein [PF03486.18]; Flavin-binding monooxygenase-like [PF00743.23]; FAD dependent oxidoreductase [PF12831.11]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_12"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	12	11614	11859	-1	"C"	""	""	"A0A3G7TYH2_9PSED"	"UniRef90_A0A3G7TYH2 DUF1127 domain-containing protein n=19 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A3G7TYH2_9PSED"	"Pseudomonadaceae"	FALSE	0.942	162	5.279e-44	""	""	""	NA	NA	NA	NA	"Domain of unknown function (DUF1127) [PF06568.15]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_13"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	13	12040	13470	1	"B"	""	""	"A0A5E7TPD2_PSEFL"	"UniRef90_A0A5E7TPD2 2-aminoadipate transaminase n=832 Tax=Bacteria TaxID=2 RepID=A0A5E7TPD2_PSEFL"	"Bacteria"	TRUE	0.913	900	6.924e-292	""	""	""	NA	NA	NA	NA	"Aminotransferase class I and II [PF00155.25]; Bacterial regulatory proteins, gntR family [PF00392.25]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_14"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	14	13561	15099	1	"B"	"K06132"	"cardiolipin synthase C [EC:2.7.8.-]"	"A0A3G7TXX7_9PSED"	"UniRef90_A0A3G7TXX7 Cardiolipin synthetase n=3 Tax=Pseudomonas chlororaphis TaxID=587753 RepID=A0A3G7TXX7_9PSED"	"Pseudomonas chlororaphis"	TRUE	0.928	996	0	""	""	""	NA	NA	NA	NA	"PLD-like domain [PF13091.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_15"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	15	15197	16345	-1	"B"	""	""	"A0A0C5EDT5_9PSED"	"UniRef90_A0A0C5EDT5 Major facilitator superfamily (MFS) profile domain-containing protein n=57 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5EDT5_9PSED"	"Pseudomonadaceae"	TRUE	0.904	722	4.443e-232	""	""	""	NA	NA	NA	NA	"Major Facilitator Superfamily [PF07690.20]; Transmembrane secretion effector [PF05977.17]; Uncharacterised MFS-type transporter YbfB [PF06779.18]; Sugar (and other) transporter [PF00083.28]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_16"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	16	16489	17982	-1	"B"	"K12254"	"4-guanidinobutyraldehyde dehydrogenase / NAD-dependent aldehyde dehydrogenase [EC:1.2.1.54 1.2.1.-]"	"A0A3S4SY86_PSEFL"	"UniRef90_A0A3S4SY86 Aldehyde dehydrogenase n=807 Tax=Bacteria TaxID=2 RepID=A0A3S4SY86_PSEFL"	"Bacteria"	TRUE	0.914	951	5.675e-309	""	""	""	NA	NA	NA	NA	"Aldehyde dehydrogenase family [PF00171.26]; Acyl-CoA reductase (LuxC) [PF05893.18]; Protein of unknown function (DUF1487) [PF07368.15]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_17"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	17	18218	18580	1	"C"	"K06995"	"uncharacterized protein"	"A0A1H3LI48_9PSED"	"UniRef90_A0A1H3LI48 (S)-ureidoglycine aminohydrolase cupin domain-containing protein n=22 Tax=Pseudomonas TaxID=286 RepID=A0A1H3LI48_9PSED"	"Pseudomonas"	FALSE	1	258	2.144e-76	""	""	""	NA	NA	NA	NA	"EutQ-like cupin domain [PF05899.16]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_18"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	18	18639	18794	-1	"C"	"K02913"	"large subunit ribosomal protein L33"	"RL33_PSESM"	"UniRef90_Q88BC7 Large ribosomal subunit protein bL33 n=158 Tax=root TaxID=1 RepID=RL33_PSESM"	"root"	FALSE	0.955	105	1.411e-24	""	""	""	NA	NA	NA	NA	"Ribosomal protein L33 [PF00471.24]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_19"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	19	18806	19039	-1	"C"	"K02902"	"large subunit ribosomal protein L28"	"RL28_PSEF5"	"UniRef90_Q4K3S6 Large ribosomal subunit protein bL28 n=589 Tax=root TaxID=1 RepID=RL28_PSEF5"	"root"	FALSE	0.953	153	1.181e-40	""	""	""	NA	NA	NA	NA	"Ribosomal L28 family [PF00830.23]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_20"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	20	19584	21173	1	"B"	"K12368"	"dipeptide transport system substrate-binding protein"	"A0A0C5EDT9_9PSED"	"UniRef90_A0A0C5EDT9 Solute-binding protein family 5 domain-containing protein n=117 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5EDT9_9PSED"	"Pseudomonadaceae"	TRUE	0.938	1039	0	""	""	""	NA	NA	NA	NA	"Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.26]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_21"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	21	21181	21855	-1	"B"	"K03630"	"DNA repair protein RadC"	"A0A0D5XSG0_9PSED"	"UniRef90_A0A0D5XSG0 MPN domain-containing protein n=20 Tax=Pseudomonas TaxID=286 RepID=A0A0D5XSG0_9PSED"	"Pseudomonas"	TRUE	0.942	445	4.637e-139	""	""	""	NA	NA	NA	NA	"RadC-like JAB domain [PF04002.19]; UPF0758 N-terminal [PF20582.2]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_22"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	22	21987	23195	1	"B"	"K13038"	"phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"	"L1M573_9PSED"	"UniRef90_L1M573 Coenzyme A biosynthesis bifunctional protein CoaBC n=76 Tax=Pseudomonadaceae TaxID=135621 RepID=L1M573_9PSED"	"Pseudomonadaceae"	TRUE	0.888	745	1.302e-239	""	""	""	NA	NA	NA	NA	"DNA / pantothenate metabolism flavoprotein [PF04127.19]; Flavoprotein [PF02441.23]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_23"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	23	23201	23656	1	"C"	"K01520"	"dUTP diphosphatase [EC:3.6.1.23]"	"DUT_PSESM"	"UniRef90_Q88BD3 Deoxyuridine 5'-triphosphate nucleotidohydrolase n=941 Tax=Gammaproteobacteria TaxID=1236 RepID=DUT_PSESM"	"Gammaproteobacteria"	FALSE	0.915	291	2.889e-87	""	""	""	NA	NA	NA	NA	"dUTPase [PF00692.23]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_24"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	24	23914	25311	1	"B"	"K15778"	"phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]"	"Q4K3S1_PSEF5"	"UniRef90_Q4K3S1 phosphomannomutase n=278 Tax=Bacteria TaxID=2 RepID=Q4K3S1_PSEF5"	"Bacteria"	TRUE	0.927	904	1.302e-293	""	""	""	NA	NA	NA	NA	"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I [PF02878.20]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II [PF02879.20]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III [PF02880.20]; Phosphoglucomutase/phosphomannomutase, C-terminal domain [PF00408.24]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_25"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	25	25351	26256	1	"B"	"K00930"	"acetylglutamate kinase [EC:2.7.2.8]"	"I4L8I8_9PSED"	"UniRef90_I4L8I8 Acetylglutamate kinase n=45 Tax=Pseudomonadaceae TaxID=135621 RepID=I4L8I8_9PSED"	"Pseudomonadaceae"	TRUE	0.9	567	8.487e-180	""	""	""	NA	NA	NA	NA	"Amino acid kinase family [PF00696.32]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_26"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	26	26400	27044	-1	"B"	"K00762"	"orotate phosphoribosyltransferase [EC:2.4.2.10]"	"PYRE_PSESM"	"UniRef90_Q88BD7 Orotate phosphoribosyltransferase n=1141 Tax=cellular organisms TaxID=131567 RepID=PYRE_PSESM"	"cellular organisms"	TRUE	0.869	388	1.526e-119	""	""	""	NA	NA	NA	NA	"Phosphoribosyl transferase domain [PF00156.31]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_27"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	27	27126	27905	1	"B"	"K01142"	"exodeoxyribonuclease III [EC:3.1.11.2]"	"A0A0B7DH51_PSEFL"	"UniRef90_A0A0B7DH51 Crc n=221 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0B7DH51_PSEFL"	"Pseudomonadaceae"	TRUE	0.978	536	5.639e-170	""	""	""	NA	NA	NA	NA	"Endonuclease/Exonuclease/phosphatase family [PF03372.27]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_28"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	28	27967	28335	-1	"C"	"K09940"	"uncharacterized protein"	"A0A1H3LGB8_9PSED"	"UniRef90_A0A1H3LGB8 Orotate phosphoribosyltransferase n=20 Tax=Pseudomonas TaxID=286 RepID=A0A1H3LGB8_9PSED"	"Pseudomonas"	FALSE	0.942	243	2.814e-71	""	""	""	NA	NA	NA	NA	"Domain of unknown function (DUF4870) [PF09685.14]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_29"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	29	28367	29089	-1	"B"	"K00989"	"ribonuclease PH [EC:2.7.7.56]"	"A0A5E7BUS6_PSEFL"	"UniRef90_A0A5E7BUS6 Ribonuclease PH n=6 Tax=Pseudomonas TaxID=286 RepID=A0A5E7BUS6_PSEFL"	"Pseudomonas"	TRUE	0.919	464	2.632e-145	""	""	""	NA	NA	NA	NA	"3' exoribonuclease family, domain 1 [PF01138.25]; 3' exoribonuclease family, domain 2 [PF03725.19]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_30"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	30	29359	30222	1	"B"	""	""	"A0A7V8ESJ1_9PSED"	"UniRef90_A0A7V8ESJ1 YicC family protein n=1 Tax=Pseudomonas sp. LD120 TaxID=485751 RepID=A0A7V8ESJ1_9PSED"	"Pseudomonas sp. LD120"	TRUE	0.872	521	2.431e-164	""	""	""	NA	NA	NA	NA	"Domain of unknown function (DUF1732) [PF08340.15]; YicC-like family, N-terminal region [PF03755.17]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_31"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	31	30235	30855	1	"B"	"K00942"	"guanylate kinase [EC:2.7.4.8]"	"UPI001411DE56"	"UniRef90_UPI001411DE56 guanylate kinase n=1 Tax=Pseudomonas sp. R5(2019) TaxID=2697566 RepID=UPI001411DE56"	"Pseudomonas sp. R5(2019)"	TRUE	0.896	387	1.97e-119	""	""	""	NA	NA	NA	NA	"Guanylate kinase [PF00625.25]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_32"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	32	31023	31286	1	"C"	"K03060"	"DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]"	"RPOZ_PSE14"	"UniRef90_Q48Q16 DNA-directed RNA polymerase subunit omega n=47 Tax=Pseudomonas TaxID=286 RepID=RPOZ_PSE14"	"Pseudomonas"	FALSE	0.893	164	1.46e-44	""	""	""	NA	NA	NA	NA	"RNA polymerase Rpb6 [PF01192.26]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_33"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	33	31344	33449	1	"B"	"K01139"	"GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"	"A0A0E1ED16_9PSED"	"UniRef90_A0A0E1ED16 guanosine-3',5'-bis(diphosphate) 3'-diphosphatase n=303 Tax=Bacteria TaxID=2 RepID=A0A0E1ED16_9PSED"	"Bacteria"	TRUE	0.952	1403	0	""	""	""	NA	NA	NA	NA	"HD domain [PF13328.10]; Region found in RelA / SpoT proteins [PF04607.21]; RelA/SpoT, AH and RIS domains [PF19296.3]; TGS domain [PF02824.25]; ACT domain [PF13291.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_34"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	34	33486	33866	1	"C"	"K09022"	"2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"	"A0A0B7DKC4_PSEFL"	"UniRef90_A0A0B7DKC4 2-iminobutanoate/2-iminopropanoate deaminase n=649 Tax=Bacteria TaxID=2 RepID=A0A0B7DKC4_PSEFL"	"Bacteria"	FALSE	0.914	243	4.681e-71	""	""	""	NA	NA	NA	NA	"Endoribonuclease L-PSP [PF01042.25]; YjgF/chorismate_mutase-like, putative endoribonuclease [PF14588.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_35"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	35	33922	34662	1	"B"	""	""	"A0A1Q8EH48_9PSED"	"UniRef90_A0A1Q8EH48 Lipoprotein n=29 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A1Q8EH48_9PSED"	"Pseudomonadaceae"	TRUE	0.933	483	6.81e-152	""	""	""	NA	NA	NA	NA	""	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_36"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	36	34751	35602	-1	"B"	""	""	"A0A0C5ETM3_9PSED"	"UniRef90_A0A0C5ETM3 NAD-dependent epimerase/dehydratase domain-containing protein n=54 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5ETM3_9PSED"	"Pseudomonadaceae"	TRUE	0.909	539	1.02e-170	""	""	""	NA	NA	NA	NA	"RmlD substrate binding domain [PF04321.21]; NAD dependent epimerase/dehydratase family [PF01370.25]; GDP-mannose 4,6 dehydratase [PF16363.9]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.23]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_37"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	37	35847	36776	1	"B"	"K03561"	"biopolymer transport protein ExbB"	"A0A554PJJ9_9PSED"	"UniRef90_A0A554PJJ9 Biopolymer transport protein ExbB n=40 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A554PJJ9_9PSED"	"Pseudomonadaceae"	TRUE	0.875	564	1.117e-178	""	""	""	NA	NA	NA	NA	"MotA/TolQ/ExbB proton channel family [PF01618.20]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_38"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	38	36783	37211	1	"C"	"K03560"	"biopolymer transport protein TolR"	"A0A423N799_PSEFL"	"UniRef90_A0A423N799 Biopolymer transport protein ExbD n=344 Tax=Bacteria TaxID=2 RepID=A0A423N799_PSEFL"	"Bacteria"	FALSE	0.89	265	1.535e-78	""	""	""	NA	NA	NA	NA	"Biopolymer transport protein ExbD/TolR [PF02472.20]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_39"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	39	37208	37954	1	"B"	"K03832"	"periplasmic protein TonB"	"A0A5E7BYJ9_PSEFL"	"UniRef90_A0A5E7BYJ9 TonB C-terminal domain-containing protein n=4 Tax=Pseudomonas TaxID=286 RepID=A0A5E7BYJ9_PSEFL"	"Pseudomonas"	TRUE	0.807	415	3.621e-128	""	""	""	NA	NA	NA	NA	"TonB C terminal [PF13103.10]; Gram-negative bacterial TonB protein C-terminal [PF03544.18]"	""	""	""	""	0
